Fit Coefficient (NO2),Fit Coefficient Error (NO2),Shift (NO2),Shift Error (NO2),Squeeze (NO2),Squeeze Error (NO2),Quadratic Squeeze (NO2),Quadratic Squeeze Error (NO2),Cubic Squeeze (NO2),Cubic Squeeze Error (NO2),Fit Coefficient (H2O),Fit Coefficient Error (H2O),Shift (H2O),Shift Error (H2O),Squeeze (H2O),Squeeze Error (H2O),Quadratic Squeeze (H2O),Quadratic Squeeze Error (H2O),Cubic Squeeze (H2O),Cubic Squeeze Error (H2O),Fit Coefficient (CHOCHO),Fit Coefficient Error (CHOCHO),Shift (CHOCHO),Shift Error (CHOCHO),Squeeze (CHOCHO),Squeeze Error (CHOCHO),Quadratic Squeeze (CHOCHO),Quadratic Squeeze Error (CHOCHO),Cubic Squeeze (CHOCHO),Cubic Squeeze Error (CHOCHO),Fit Coefficient (O3),Fit Coefficient Error (O3),Shift (O3),Shift Error (O3),Squeeze (O3),Squeeze Error (O3),Quadratic Squeeze (O3),Quadratic Squeeze Error (O3),Cubic Squeeze (O3),Cubic Squeeze Error (O3),Chi Square,Delta,RMS,FitSteps,Poly. Coeff. 0,Poly. Coeff. Error 0,Poly. Coeff. 1,Poly. Coeff. Error 1,Poly. Coeff. 2,Poly. Coeff. Error 2,Poly. Coeff. 3,Poly. Coeff. Error 3,Author,Average,AzimuthAngle,Delta,DeltaRel,Deviation,Device,ElevationAngle,ExposureTime,FitHigh,FitLow,IntensityScale,LightPath,LightSource,Marker,MathHigh,MathLow,Max,MaxChannel,Min,MinChannel,MultiChannelCounter,Name,NumScans,ObjectKey,OpticalDensity,OpticalDensityCenter,OpticalDensityLeft,OpticalDensityRight,Pressure,Remark,ScanMax,Site,StartDate,StartDateAndTime,StartTime,StopDate,StopDateAndTime,StopTime,TemperatureAmbient,TimeZoneOffset,File Number,UserParam4,Center Time,NAddupSpectra,Avg. Intensity,HR Latitude,HR Longitude,I0 Center Time,I0 File Number,#ICEDOAS iter.,CellPressure
13.1102482692574,0.163401717032152,0.0109092734472176,0.0026570897686506,1,0,0,0,0,0,-3657798.16254235,2281454.00956042,0.0109092734472176,0.0026570897686506,1,0,0,0,0,0,0.190434939307471,0.239462778764996,0.0109092734472176,0.0026570897686506,1,0,0,0,0,0,758.946180730748,2846.84116505553,0.0109092734472176,0.0026570897686506,1,0,0,0,0,0,2.56144063453736E-05,0.0015887982860745,0.000250253692040436,2,0.870162489431199,8.44174632055709,-0.00593952464340401,0.0568540404918153,1.35055694497909E-05,0.000127624914481847,-1.02304499832655E-08,9.54892995774785E-08,,-2.66104536354163E-17,0,0.0104169553933635,-391461022652369,0.00198326481789798,1308002U1,0,10,1161,753,OpticalDensity,0,2460.43487215367,1024,1211,703,0.00393043517214098,2047,-0.00648652022122254,0,0,NOxMeas_00029,1000,m_oMeasOptDensity,26741087462538,1024,102,1945,971755,,0,,02/23/2016,2016-02-23 03:01:21,03:01:21,02/23/2016,2016-02-23 03:01:31,03:01:31,25,01:00:00,29,-1,02/23/2016 03:01:26,1,2420.87790906459,0.0000000,0.0000000,02/22/2016 15:48:16,4,3,921755
26.9901524112233,0.190176149503224,0.015326210116263,0.00148975357274011,1,0,0,0,0,0,-5381151.79688918,2600958.88254994,0.015326210116263,0.00148975357274011,1,0,0,0,0,0,0.373820453238301,0.272810157075354,0.015326210116263,0.00148975357274011,1,0,0,0,0,0,2393.45029395989,3243.70902291023,0.015326210116263,0.00148975357274011,1,0,0,0,0,0,3.27877663599995E-05,0.00182199527932376,0.000283135458543844,3,-4.57759113677824,9.56129426799912,0.0307966376070416,0.0643942441381929,-6.90610822687934E-05,0.000144551468616756,5.16210300535364E-08,1.08154123508187E-07,,-1.50065509025954E-16,0,0.019926672765437,-132786493677176,0.00397943272662436,1308002U1,0,10,1161,753,OpticalDensity,0,2460.43487215367,1024,1211,703,0.00723415606729283,2047,-0.0126925166981442,0,0,NOxMeas_00030,1000,m_oMeasOptDensity,23348822804.6692,1024,102,1945,971765,,0,,02/23/2016,2016-02-23 03:01:32,03:01:32,02/23/2016,2016-02-23 03:01:42,03:01:42,24.99,01:00:00,30,-1,02/23/2016 03:01:37,1,2376.28584115677,0.0000000,0.0000000,02/22/2016 15:48:16,4,3,921765
26.9546135214718,0.178109887592722,0.0159394401824274,0.00139683593883012,1,0,0,0,0,0,-3854098.57156391,2434056.77266401,0.0159394401824274,0.00139683593883012,1,0,0,0,0,0,0.18388119558772,0.255248158681768,0.0159394401824274,0.00139683593883012,1,0,0,0,0,0,2590.37664994359,3035.47368175682,0.0159394401824274,0.00139683593883012,1,0,0,0,0,0,2.87058897532463E-05,0.00151542560619631,0.000264925554642106,3,-4.50184950933582,8.95057708897156,0.0303430716871465,0.0602811667091086,-6.81701893656702E-05,0.000135318554616499,5.10499339689372E-08,1.01246067123417E-07,,1.77984673495899E-16,0,0.0203006320274401,114058315408309,0.00397374104078903,1308002U1,0,10,1161,753,OpticalDensity,0,2460.43487215367,1024,1211,703,0.00763743646401993,2047,-0.0126631955634202,0,0,NOxMeas_00031,1000,m_oMeasOptDensity,16980032039.5417,1024,102,1945,971815,,0,,02/23/2016,2016-02-23 03:01:42,03:01:42,02/23/2016,2016-02-23 03:01:52,03:01:52,24.97,01:00:00,31,-1,02/23/2016 03:01:47,1,2375.64674143245,0.0000000,0.0000000,02/22/2016 15:48:16,4,3,921815
27.0596338010439,0.187052113753489,0.0156059176522698,0.0014608684301252,1,0,0,0,0,0,-4628251.53647952,2555846.15071433,0.0156059176522698,0.0014608684301252,1,0,0,0,0,0,0.33665495283707,0.268062990334591,0.0156059176522698,0.0014608684301252,1,0,0,0,0,0,2292.96662954904,3187.3721314744,0.0156059176522698,0.0014608684301252,1,0,0,0,0,0,3.16469049305326E-05,0.00179773696316972,0.00027816594982072,3,-1.45255109639502,9.39663616841476,0.00968412580989287,0.063285304853863,-2.15202908889508E-05,0.000142062165749327,1.59401765535526E-08,1.06291637441319E-07,,-1.2520000316991E-16,0,0.0205231445982563,-163922876027441,0.00398578367284629,1308002U1,0,10,1161,753,OpticalDensity,0,2460.43487215367,1024,1211,703,0.0075261157933304,2047,-0.0129970288049259,0,0,NOxMeas_00032,1000,m_oMeasOptDensity,11215229028.8103,1024,102,1945,971.7834,,0,,02/23/2016,2016-02-23 03:01:52,03:01:52,02/23/2016,2016-02-23 03:02:02,03:02:02,24.96,01:00:00,32,-1,02/23/2016 03:01:57,1,2376.10965740657,0.0000000,0.0000000,02/22/2016 15:48:16,4,3,921.7834
27.1341097608565,0.179072839254354,0.0135849019372018,0.00139497169662745,1,0,0,0,0,0,-3935269.21846004,2446495.31603828,0.0135849019372018,0.00139497169662745,1,0,0,0,0,0,0.156696217845894,0.256833200566514,0.0135849019372018,0.00139497169662745,1,0,0,0,0,0,2575.24522926418,3051.17111588845,0.0135849019372018,0.00139497169662745,1,0,0,0,0,0,2.89929398928952E-05,0.00178474302209637,0.000266246847093035,3,0.64578134348487,8.99208541678987,-0.00440814311216737,0.0605605868371293,1.00250672477063E-05,0.000135945492314506,-7.59608678959166E-09,1.01714918672658E-07,,-5.45296181053613E-17,0,0.0201190693374316,-368956725472711,0.0040010396547667,1308002U1,0,10,1161,753,OpticalDensity,0,2460.43487215367,1024,1211,703,0.00742049908314968,2047,-0.0126985702542819,0,0,NOxMeas_00033,1000,m_oMeasOptDensity,9969068279.29161,1024,102,1945,971.7517,,0,,02/23/2016,2016-02-23 03:02:02,03:02:02,02/23/2016,2016-02-23 03:02:12,03:02:12,24.96,01:00:00,33,-1,02/23/2016 03:02:07,1,2376.15098362876,0.0000000,0.0000000,02/22/2016 15:48:16,4,3,921.7517
26.8978261737992,0.198103947772454,0.0145260329190669,0.00155674670654489,1,0,0,0,0,0,-5475314.09448208,2707491.00698126,0.0145260329190669,0.00155674670654489,1,0,0,0,0,0,0.36409572869238,0.284098623252313,0.0145260329190669,0.00155674670654489,1,0,0,0,0,0,2407.71688232907,3376.59567706851,0.0145260329190669,0.00155674670654489,1,0,0,0,0,0,3.55161215331015E-05,0.00163036254640338,0.000294680306320549,3,-0.176985624289974,9.95072244061785,0.0011510762709511,0.0670169486405787,-2.49355574816982E-06,0.000150438771725052,1.79906685813768E-09,1.12558946808479E-07,,2.35567950215161E-17,0,0.0204053911319417,866221025114157,0.00397048121114568,1308002U1,0,10,1161,753,OpticalDensity,0,2460.43487215367,1024,1211,703,0.00748112685504343,2047,-0.0129242642768983,0,0,NOxMeas_00034,1000,m_oMeasOptDensity,31269937684.7728,1024,102,1945,971.7317,,0,,02/23/2016,2016-02-23 03:02:13,03:02:13,02/23/2016,2016-02-23 03:02:23,03:02:23,24.96,01:00:00,34,-1,02/23/2016 03:02:18,1,2374.83939200009,0.0000000,0.0000000,02/22/2016 15:48:16,4,3,921.7317
27.090249447686,0.178911160153651,0.016476470741621,0.00139571405881381,1,0,0,0,0,0,-4361657.00091109,2444518.91069289,0.016476470741621,0.00139571405881381,1,0,0,0,0,0,0.273425889353493,0.256285541096152,0.016476470741621,0.00139571405881381,1,0,0,0,0,0,2216.00574051192,3048.45793269968,0.016476470741621,0.00139571405881381,1,0,0,0,0,0,2.89468771078793E-05,0.00161834677048821,0.00026603526199681,3,-1.07724009998322,8.98751429292451,0.00713074453196067,0.0605299634968685,-1.57309181079064E-05,0.000135877116448221,1.15655740282659E-08,1.01664035570946E-07,,2.40366556608433E-16,0,0.0206265003455082,85812688073364.6,0.00398963340767671,1308002U1,0,10,1161,753,OpticalDensity,0,2460.43487215367,1024,1211,703,0.0075393041589138,2047,-0.0130871961865944,0,0,NOxMeas_00035,1000,m_oMeasOptDensity,15832177677.7207,1024,102,1945,971.78,,0,,02/23/2016,2016-02-23 03:02:23,03:02:23,02/23/2016,2016-02-23 03:02:33,03:02:33,24.97,01:00:00,35,-1,02/23/2016 03:02:28,1,2374.88746925576,0.0000000,0.0000000,02/22/2016 15:48:16,4,3,921.78
27.0001372896957,0.186032825681523,0.0153106897456152,0.00145647640142188,1,0,0,0,0,0,-5279401.13459122,2542143.0730209,0.0153106897456152,0.00145647640142188,1,0,0,0,0,0,0.340646549533078,0.266660098295855,0.0153106897456152,0.00145647640142188,1,0,0,0,0,0,2849.23108553705,3170.31796839529,0.0153106897456152,0.00145647640142188,1,0,0,0,0,0,3.13010847655285E-05,0.0018287567495531,0.000276641951929574,3,-7.90968961443575,9.34544640545551,0.0532627338365773,0.0629405315734325,-0.000119548605308865,0.000141288186293632,8.94380349610881E-08,1.0571251467837E-07,,1.08186762321037E-16,0,0.020081213408057,185616178700934,0.00397383609017265,1308002U1,0,10,1161,753,OpticalDensity,0,2460.43487215367,1024,1211,703,0.00718511839221825,2047,-0.0128960950158388,0,0,NOxMeas_00036,1000,m_oMeasOptDensity,14426398121.9919,1024,102,1945,971.7334,,0,,02/23/2016,2016-02-23 03:02:33,03:02:33,02/23/2016,2016-02-23 03:02:43,03:02:43,24.99,01:00:00,36,-1,02/23/2016 03:02:38,1,2375.88418822818,0.0000000,0.0000000,02/22/2016 15:48:16,4,3,921.7334
27.1813066258323,0.178832867638188,0.0144729683386926,0.00139049092588345,1,0,0,0,0,0,-4020972.20296207,2443072.39507152,0.0144729683386926,0.00139049092588345,1,0,0,0,0,0,0.200649639090297,0.256386908854197,0.0144729683386926,0.00139049092588345,1,0,0,0,0,0,2369.19145859593,3046.86016412062,0.0144729683386926,0.00139049092588345,1,0,0,0,0,0,2.89060784542411E-05,0.00155172210585102,0.000265847716609235,3,0.00167160246801275,8.98788089211456,-0.000103250544252469,0.060532320681552,4.36019733584927E-07,0.000135882151390993,-4.77421254905537E-10,1.01667606815597E-07,,8.94285736927926E-17,0,0.0202794301008287,226766784523402,0.00400078828457479,1308002U1,0,10,1161,753,OpticalDensity,0,2460.43487215367,1024,1211,703,0.00729699557927943,2047,-0.0129824345215492,0,0,NOxMeas_00037,1000,m_oMeasOptDensity,20110736899.5454,1024,102,1945,971.8067,,0,,02/23/2016,2016-02-23 03:02:43,03:02:43,02/23/2016,2016-02-23 03:02:53,03:02:53,25,01:00:00,37,-1,02/23/2016 03:02:48,1,2376.17739456088,0.0000000,0.0000000,02/22/2016 15:48:16,4,3,921.8067
27.1019571881606,0.198438121832095,0.0143845733174584,0.00154732100305507,1,0,0,0,0,0,-4272413.11754375,2711203.22963607,0.0143845733174584,0.00154732100305507,1,0,0,0,0,0,0.3494615938001,0.284511078416929,0.0143845733174584,0.00154732100305507,1,0,0,0,0,0,2385.39543654088,3381.20986274199,0.0143845733174584,0.00154732100305507,1,0,0,0,0,0,3.5599105375927E-05,0.00177549880811326,0.000295024367484873,3,-0.943321694288723,9.96002121384129,0.00621402815160524,0.0670795627659498,-1.36393462832687E-05,0.000150579301034792,9.97500457469867E-09,1.12664072644914E-07,,1.22582581500852E-16,0,0.0199680956164257,162895048969799,0.00398588422715774,1308002U1,0,10,1161,753,OpticalDensity,0,2460.43487215367,1024,1211,703,0.00727898338128319,2047,-0.0126891122351425,0,0,NOxMeas_00038,1000,m_oMeasOptDensity,26541023879.0754,1024,102,1945,971765,,0,,02/23/2016,2016-02-23 03:02:54,03:02:54,02/23/2016,2016-02-23 03:03:04,03:03:04,25,01:00:00,38,-1,02/23/2016 03:02:59,1,2376.98656109333,0.0000000,0.0000000,02/22/2016 15:48:16,4,3,921765
