Fit Coefficient (NO2),Fit Coefficient Error (NO2),Shift (NO2),Shift Error (NO2),Squeeze (NO2),Squeeze Error (NO2),Quadratic Squeeze (NO2),Quadratic Squeeze Error (NO2),Cubic Squeeze (NO2),Cubic Squeeze Error (NO2),Fit Coefficient (H2O),Fit Coefficient Error (H2O),Shift (H2O),Shift Error (H2O),Squeeze (H2O),Squeeze Error (H2O),Quadratic Squeeze (H2O),Quadratic Squeeze Error (H2O),Cubic Squeeze (H2O),Cubic Squeeze Error (H2O),Fit Coefficient (CHOCHO),Fit Coefficient Error (CHOCHO),Shift (CHOCHO),Shift Error (CHOCHO),Squeeze (CHOCHO),Squeeze Error (CHOCHO),Quadratic Squeeze (CHOCHO),Quadratic Squeeze Error (CHOCHO),Cubic Squeeze (CHOCHO),Cubic Squeeze Error (CHOCHO),Fit Coefficient (O3),Fit Coefficient Error (O3),Shift (O3),Shift Error (O3),Squeeze (O3),Squeeze Error (O3),Quadratic Squeeze (O3),Quadratic Squeeze Error (O3),Cubic Squeeze (O3),Cubic Squeeze Error (O3),Chi Square,Delta,RMS,FitSteps,Poly. Coeff. 0,Poly. Coeff. Error 0,Poly. Coeff. 1,Poly. Coeff. Error 1,Poly. Coeff. 2,Poly. Coeff. Error 2,Poly. Coeff. 3,Poly. Coeff. Error 3,Author,Average,AzimuthAngle,Delta,DeltaRel,Deviation,Device,ElevationAngle,ExposureTime,FitHigh,FitLow,IntensityScale,Latitude,LightPath,LightSource,Longitude,Marker,MathHigh,MathLow,Max,MaxChannel,Min,MinChannel,MultiChannelCounter,Name,NumScans,ObjectKey,OpticalDensity,OpticalDensityCenter,OpticalDensityLeft,OpticalDensityRight,Pressure,Remark,ScanMax,Site,StartDate,StartDateAndTime,StartTime,StopDate,StopDateAndTime,StopTime,TemperatureAmbient,TimeZoneOffset,UserParam1,UserParam2,UserParam3,UserParam4,UserParam5,UserParam6,UserParam7,UserParam8,Variance
17.1132117590712,0.111351172511571,0.178437989828221,0.00279154043524066,1,0,0,0,0,0,766693.953830218,1556922.42674938,0.178437989828221,0.00279154043524066,1,0,0,0,0,0,-0.168035373007708,0.152640320105909,0.178437989828221,0.00279154043524066,1,0,0,0,0,0,-202.111829298687,1932.2009760559,0.178437989828221,0.00279154043524066,1,0,0,0,0,0,5.95860059116457E-05,0.00312461912887029,0.000381689737895606,4,9.72991036457826,12.6584486488118,-0.0651211042446737,0.0852988285024989,0.000145265476003626,0.000191580014295564,-1.0800183916382E-07,1.43417419007968E-07,20140221,3.51208224475796E-18,0,0.0144828792335832,4.12373009066059E+15,0.00269535071530415,1308002U1,0,10,1161,753,OpticalDensity,0,0,0.9746883296166204,0,1024,1300,650,0.00524576330164287,2047,-0.00923711593194032,0,0,0,1,0,46960931278.4811,1024,102,1945,1013,,0,,02/19/2016,2016-02-19 18:31:55,18:31:55,02/19/2016,2016-02-19 18:32:25,18:32:25,25,01:00:00,02/19/2016 18:32:10,20,02/19/2016 18:30:20,129672.20255175702,2392.044485051184,4,1,,7.26491547849058E-06
20.274028701889,0.122474055543703,0.177940567491498,0.00258766945792764,1,0,0,0,0,0,-139072.966551493,1704117.90030835,0.177940567491498,0.00258766945792764,1,0,0,0,0,0,-0.298353773037894,0.167132577627793,0.177940567491498,0.00258766945792764,1,0,0,0,0,0,-520.558779674347,2114.60348100849,0.177940567491498,0.00258766945792764,1,0,0,0,0,0,7.11014516805465E-05,0.00310069654720842,0.000416943857304456,4,16.0723474839172,13.8175810993057,-0.107913067828167,0.0931095716681551,0.000241494143209141,0.000209122708871989,-1.80126366787461E-07,1.56549843505259E-07,20140221,-2.66470580027159E-20,0,0.0171245422656542,-6.42642886276933E+17,0.00316640226245587,1308002U1,0,10,1161,753,OpticalDensity,0,0,0.9722058000619214,0,1024,1300,650,0.00623202460911548,2047,-0.0108925176565387,0,0,1,1,1,43617197078.7754,1024,102,1945,1013,,0,,02/19/2016,2016-02-19 18:33:57,18:33:57,02/19/2016,2016-02-19 18:34:27,18:34:27,25,01:00:00,02/19/2016 18:34:12,20,02/19/2016 18:30:20,129672.20255175702,2385.951951725551,4,1,,1.00261032876857E-05
22.8091396744342,0.136640774446584,0.179434099573577,0.00256174623152543,1,0,0,0,0,0,1285316.55464144,1893676.89306399,0.179434099573577,0.00256174623152543,1,0,0,0,0,0,-0.244852238990647,0.185642628039801,0.179434099573577,0.00256174623152543,1,0,0,0,0,0,-18.0071594697429,2349.62491330804,0.179434099573577,0.00256174623152543,1,0,0,0,0,0,8.7519892819496E-05,0.0034565811002382,0.000462585200817681,4,10.9317150127405,15.3186723208005,-0.0733089926976524,0.10322474936234,0.000163855401436289,0.00023184147249377,-1.22067246422714E-07,1.73557349346939E-07,20140221,2.46218815945095E-18,0,0.0192763666876721,7.82895759354579E+15,0.00354379733393519,1308002U1,0,10,1161,753,OpticalDensity,0,0,0.9684913894092133,0,1024,1300,650,0.00701346766038369,2047,-0.0122628990272884,0,0,2,1,2,54419412970.4754,1024,102,1945,1013,,0,,02/19/2016,2016-02-19 18:35:58,18:35:58,02/19/2016,2016-02-19 18:36:28,18:36:28,25,01:00:00,02/19/2016 18:36:13,20,02/19/2016 18:30:20,129672.20255175702,2376.8361808200757,4,1,,1.25584995440062E-05
23.0117131878964,0.139527789183335,0.179410863802991,0.00259294666394911,1,0,0,0,0,0,166308.100322792,1933070.12027858,0.179410863802991,0.00259294666394911,1,0,0,0,0,0,-0.181466210076832,0.189531671518428,0.179410863802991,0.00259294666394911,1,0,0,0,0,0,-179.531978845831,2398.49741400465,0.179410863802991,0.00259294666394911,1,0,0,0,0,0,9.11755166984319E-05,0.0034649998319201,0.000472147247904639,4,11.6811409487212,15.6509476753257,-0.0782174714251683,0.105463781521205,0.000174561926112559,0.000236870296528859,-1.29844268044714E-07,1.77321928810472E-07,20140221,2.344941104239E-19,0,0.0194019227467989,8.27394884746814E+16,0.00357961666953334,1308002U1,0,10,1161,753,OpticalDensity,0,0,0.968422357914095,0,1024,1300,650,0.00707620906865402,2047,-0.0123257136781449,0,0,3,1,3,41247354760.1442,1024,102,1945,1013,,0,,02/19/2016,2016-02-19 18:37:59,18:37:59,02/19/2016,2016-02-19 18:38:29,18:38:29,25,01:00:00,02/19/2016 18:38:14,20,02/19/2016 18:30:20,129672.20255175702,2376.6667662470527,4,1,,1.28136555008009E-05
26.314774399474,0.160254809433513,0.17806258104837,0.00259856198393448,1,0,0,0,0,0,1159864.20453167,2208546.46525093,0.17806258104837,0.00259856198393448,1,0,0,0,0,0,-0.266760446127382,0.2167095653198,0.17806258104837,0.00259856198393448,1,0,0,0,0,0,-224.811722846343,2739.895652034,0.17806258104837,0.00259856198393448,1,0,0,0,0,0,0.000118522563716969,0.00417648728482526,0.000538317953765945,4,12.9529088737838,17.8448007470347,-0.0867934787268639,0.120246885951338,0.000193838015956242,0.000270072603797199,-1.44285650607066E-07,2.02177022876121E-07,20140221,-3.02710578910853E-18,0,0.0220346246692073,-7.27910625009786E+15,0.00407418993110021,1308002U1,0,10,1161,753,OpticalDensity,0,0,0.9636220691183924,0,1024,1300,650,0.00792473263081812,2047,-0.0141098920383892,0,0,4,1,4,46478635243.6721,1024,102,1945,1013,,0,,02/19/2016,2016-02-19 18:40:01,18:40:01,02/19/2016,2016-02-19 18:40:31,18:40:31,25,01:00:00,02/19/2016 18:40:16,20,02/19/2016 18:30:20,129672.20255175702,2364.886072879225,4,1,,1.65990235946783E-05
20.5289879437859,0.127834994904753,0.177952923534333,0.00266681888512098,1,0,0,0,0,0,258372.431178253,1778001.32908032,0.177952923534333,0.00266681888512098,1,0,0,0,0,0,-0.239977705893461,0.174358441464917,0.177952923534333,0.00266681888512098,1,0,0,0,0,0,-372.810067777368,2206.24522846531,0.177952923534333,0.00266681888512098,1,0,0,0,0,0,7.73759495111643E-05,0.00312610918384178,0.000434952009572557,4,10.2015148741401,14.3959465658972,-0.0683285408689809,0.097006871651007,0.000152534631506773,0.00021787597891056,-1.13491644932963E-07,1.63102566979801E-07,20140221,5.16952925252689E-19,0,0.0174661345099096,3.37867021477286E+16,0.0032098094498364,1308002U1,0,10,1161,753,OpticalDensity,0,0,0.9717290505792987,0,1024,1300,650,0.00622038397249857,2047,-0.011245750537411,0,0,5,1,5,46874756996.9283,1024,102,1945,1013,,0,,02/19/2016,2016-02-19 18:42:02,18:42:02,02/19/2016,2016-02-19 18:42:32,18:42:32,25,01:00:00,02/19/2016 18:42:17,20,02/19/2016 18:30:20,129672.20255175702,2384.7819305649336,4,1,,1.03028767042591E-05
25.8232042734067,0.155151362953528,0.178263840538937,0.00256476282596155,1,0,0,0,0,0,839564.743141827,2139900.91349933,0.178263840538937,0.00256476282596155,1,0,0,0,0,0,-0.235135835582222,0.209904197237971,0.178263840538937,0.00256476282596155,1,0,0,0,0,0,50.166574678391,2654.7622866243,0.178263840538937,0.00256476282596155,1,0,0,0,0,0,0.000111338422579748,0.00408973328447607,0.000521748102149151,4,9.45815014635016,17.2618072694938,-0.0632995446318908,0.116318410652431,0.000141195581662314,0.000261249364178096,-1.04970688775091E-07,1.95571976797149E-07,20140221,5.33474101214373E-18,0,0.0215727819810587,4.04382929404661E+15,0.00399751485123882,1308002U1,0,10,1161,753,OpticalDensity,0,0,0.9644107129821112,0,1024,1300,650,0.00778900430522517,2047,-0.0137837776758335,0,0,6,1,6,46957443357.7742,1024,102,1945,1013,,0,,02/19/2016,2016-02-19 18:44:03,18:44:03,02/19/2016,2016-02-19 18:44:33,18:44:33,25,01:00:00,02/19/2016 18:44:18,20,02/19/2016 18:30:20,129672.20255175702,2366.821533833826,4,1,,1.5980124985875E-05
28.2809714296942,0.16527156282567,0.178604362652433,0.00249087157774467,1,0,0,0,0,0,370179.154570955,2270429.63266197,0.178604362652433,0.00249087157774467,1,0,0,0,0,0,-0.292127601766356,0.2227463502704,0.178604362652433,0.00249087157774467,1,0,0,0,0,0,60.9094651798499,2816.44080030021,0.178604362652433,0.00249087157774467,1,0,0,0,0,0,0.00012495114086387,0.00409795071813797,0.000552724173414983,4,11.1567760338205,18.3025300917445,-0.0747533227319638,0.123331315661234,0.000166937434833578,0.000277000259245868,-1.24253537030212E-07,2.07363147818044E-07,20140221,2.77129403228246E-19,0,0.0234078620824045,8.44654584094262E+16,0.00435537694871248,1308002U1,0,10,1161,753,OpticalDensity,0,0,0.9609041298448475,0,1024,1300,650,0.00840990434961749,2047,-0.014997957732787,0,0,7,1,7,39509169673.4074,1024,102,1945,1013,,0,,02/19/2016,2016-02-19 18:46:05,18:46:05,02/19/2016,2016-02-19 18:46:35,18:46:35,25,01:00:00,02/19/2016 18:46:20,20,02/19/2016 18:30:20,129672.20255175702,2358.2158056230815,4,1,,1.89693083653761E-05
26.9277933451153,0.163880852676005,0.179382443118829,0.00259581382375479,1,0,0,0,0,0,918646.165278256,2256276.09051905,0.179382443118829,0.00259581382375479,1,0,0,0,0,0,-0.158030424449002,0.221303608312763,0.179382443118829,0.00259581382375479,1,0,0,0,0,0,-255.728263815414,2799.09070116288,0.179382443118829,0.00259581382375479,1,0,0,0,0,0,0.000123605679848503,0.00414373070557594,0.000549740280629565,4,9.82506975914403,18.2301315180952,-0.0656735985782657,0.12284355193376,0.00014630787394965,0.000275904947385824,-1.08634183565529E-07,2.06543334649939E-07,20140221,3.41082342434764E-18,0,0.0226875560136537,6.65163603946839E+15,0.00416447187114562,1308002U1,0,10,1161,753,OpticalDensity,0,0,0.9629802653560013,0,1024,1300,650,0.00810864272562622,2047,-0.0145789132880275,0,0,8,1,8,46028007047.8556,1024,102,1945,1013,,0,,02/19/2016,2016-02-19 18:48:06,18:48:06,02/19/2016,2016-02-19 18:48:36,18:48:36,25,01:00:00,02/19/2016 18:48:21,20,02/19/2016 18:30:20,129672.20255175702,2363.3109815360094,4,1,,1.73428259655631E-05
23.6563176929063,0.142989040407979,0.180021596379403,0.00258388626170906,1,0,0,0,0,0,328667.416780051,1978993.39055722,0.180021596379403,0.00258388626170906,1,0,0,0,0,0,-0.260590837833065,0.193980972345291,0.180021596379403,0.00258388626170906,1,0,0,0,0,0,-90.726048269798,2455.42102134236,0.180021596379403,0.00258388626170906,1,0,0,0,0,0,9.54819974687363E-05,0.00359576991864384,0.000483169035166951,4,13.6064348170252,16.0024845708414,-0.0912060194206096,0.107832654765165,0.000203769231510552,0.0002421908644319,-1.51736467145415E-07,1.81305012481591E-07,20140221,1.52421171775535E-18,0,0.0200120300135988,1.31294293177786E+16,0.0036755462687315,1308002U1,0,10,1161,753,OpticalDensity,0,0,0.967622561922839,0,1024,1300,650,0.00715311762686441,2047,-0.0128589123867344,0,0,9,1,9,58369561963.8268,1024,102,1945,1013,,0,,02/19/2016,2016-02-19 18:50:07,18:50:07,02/19/2016,2016-02-19 18:50:37,18:50:37,25,01:00:00,02/19/2016 18:50:22,20,02/19/2016 18:30:20,129672.20255175702,2374.7039361485304,4,1,,1.35096403735861E-05
